Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.0,0.77,0.2,4.0,3.0,967.0,15.0
0.0,0.89,0.06,4.0,6.0,412.0,10.0
0.0,0.77,0.19,8.0,42.0,2745.0,18.0
0.02,0.78,0.11,7.0,32.0,110.0,11.0
0.02,0.61,0.34,3.0,56.0,2725.0,11.0
0.02,0.65,0.21,1.0,49.0,4199.0,43.0
0.05,0.4,0.52,3.0,61.0,2793.0,15.0
0.0,0.65,0.3,2.0,40.0,2347.0,11.0
0.0,0.75,0.2,7.0,22.0,1168.0,6.0
0.04,0.69,0.25,11.0,28.0,165.0,14.0
0.1,0.69,0.17,10.0,25.0,393.0,10.0
0.02,0.73,0.22,1.0,47.0,1550.0,22.0
0.0,0.9,0.08,7.0,22.0,566.0,12.0
0.0,0.56,0.42,35.0,26.0,4382.0,10.0
0.14,0.54,0.27,18.0,31.0,2260.0,17.0
0.07,0.63,0.27,11.0,30.0,4025.0,13.0
0.06,0.87,0.04,10.0,7.0,145.0,19.0
0.53,0.44,0.02,12.0,42.0,2122.0,12.0
0.65,0.27,0.06,8.0,4.0,1825.0,36.0
0.13,0.67,0.15,12.0,17.0,140.0,18.0
0.05,0.88,0.03,13.0,12.0,83.0,24.0
0.12,0.68,0.15,16.0,24.0,1015.0,27.0
0.0,0.93,0.03,13.0,6.0,141.0,5.0
0.05,0.89,0.02,10.0,23.0,810.0,21.0
0.01,0.58,0.39,12.0,22.0,15.0,3.0
0.51,0.32,0.11,35.0,7.0,1307.0,7.0
0.6,0.3,0.07,11.0,3.0,1514.0,3.0
0.86,0.09,0.03,7.0,8.0,555.0,51.0
0.7,0.19,0.09,10.0,18.0,2894.0,11.0
0.19,0.64,0.06,8.0,8.0,3955.0,3.0
0.36,0.45,0.14,16.0,11.0,4346.0,10.0
0.08,0.77,0.09,13.0,26.0,3526.0,3.0
0.24,0.55,0.14,11.0,4.0,2245.0,5.0
0.37,0.48,0.1,10.0,3.0,5807.0,13.0
0.35,0.42,0.12,9.0,1.0,2761.0,13.0
0.26,0.48,0.14,8.0,4.0,4761.0,9.0
0.33,0.63,0.02,16.0,22.0,4187.0,17.0
0.33,0.2,0.45,8.0,28.0,4112.0,38.0
0.54,0.12,0.35,6.0,24.0,3205.0,21.0
0.91,0.01,0.07,16.0,54.0,1190.0,35.0
0.77,0.09,0.13,3.0,20.0,4809.0,47.0
0.47,0.3,0.2,17.0,52.0,5603.0,10.0
0.29,0.26,0.43,27.0,38.0,6758.0,25.0
0.38,0.31,0.28,89.0,17.0,4894.0,20.0
0.48,0.25,0.16,11.0,18.0,2597.0,23.0
0.4,0.39,0.07,35.0,9.0,1832.0,12.0
0.75,0.11,0.13,7.0,40.0,6014.0,27.0
0.42,0.1,0.41,7.0,59.0,5118.0,23.0
0.4,0.1,0.43,10.0,37.0,4480.0,24.0
0.68,0.11,0.19,31.0,54.0,5676.0,25.0
0.78,0.08,0.12,46.0,14.0,3373.0,23.0
0.85,0.06,0.06,9.0,29.0,4109.0,17.0
0.44,0.12,0.42,6.0,45.0,4768.0,33.0
0.59,0.17,0.2,14.0,40.0,4086.0,26.0
0.57,0.22,0.08,7.0,34.0,5186.0,38.0
0.95,0.02,0.0,99.0,42.0,453.0,28.0
0.65,0.07,0.23,100.0,38.0,4897.0,25.0
0.39,0.08,0.44,100.0,54.0,4453.0,18.0
0.19,0.04,0.64,99.0,57.0,4740.0,16.0
0.96,0.02,0.0,100.0,15.0,5596.0,40.0
0.91,0.05,0.02,100.0,30.0,5823.0,50.0
0.89,0.01,0.09,100.0,34.0,5216.0,28.0
0.46,0.04,0.47,100.0,43.0,5718.0,44.0
0.12,0.2,0.54,100.0,34.0,4728.0,23.0
0.35,0.2,0.36,98.0,15.0,2483.0,33.0
0.24,0.12,0.62,100.0,50.0,5054.0,24.0
0.33,0.18,0.42,100.0,17.0,5087.0,17.0
0.53,0.28,0.07,99.0,17.0,2897.0,18.0
0.48,0.24,0.14,100.0,2.0,5593.0,41.0
0.24,0.28,0.12,99.0,7.0,3237.0,24.0
0.17,0.56,0.25,99.0,32.0,2525.0,18.0
0.07,0.11,0.77,100.0,42.0,4477.0,39.0
0.26,0.21,0.49,100.0,63.0,3567.0,13.0
0.19,0.12,0.57,100.0,55.0,4584.0,15.0
0.01,0.78,0.16,100.0,36.0,5100.0,8.0
0.17,0.41,0.36,100.0,45.0,4505.0,24.0
0.05,0.63,0.27,100.0,36.0,4707.0,8.0
0.02,0.77,0.17,99.0,50.0,4510.0,7.0
0.05,0.77,0.09,34.0,46.0,3008.0,13.0
0.03,0.89,0.05,57.0,17.0,5070.0,3.0
0.0,0.72,0.16,99.0,3.0,4370.0,11.0
0.0,0.77,0.15,100.0,22.0,5513.0,4.0
0.04,0.79,0.13,60.0,28.0,5330.0,6.0
0.06,0.74,0.12,95.0,22.0,5203.0,9.0
0.05,0.88,0.06,20.0,30.0,4812.0,6.0
0.14,0.74,0.06,56.0,21.0,2921.0,5.0
0.32,0.35,0.31,0.0,0.0,3010.0,
0.33,0.31,0.34,8.0,0.0,1844.0,
0.37,0.21,0.37,1.0,0.0,1576.0,
0.04,0.72,0.2,72.0,10.0,752.0,3.0
0.11,0.72,0.1,58.0,5.0,2128.0,12.0
0.26,0.67,0.03,18.0,10.0,2838.0,5.0
0.03,0.85,0.08,24.0,13.0,2522.0,1.0
0.04,0.77,0.15,89.0,15.0,1145.0,8.0
0.28,0.2,0.51,22.0,46.0,6613.0,27.0
0.91,0.0,0.08,100.0,33.0,5453.0,31.0
0.0,0.42,0.02,100.0,0.0,3518.0,7.0
,,,,0.0,51.0,
0.0,0.04,0.95,3.0,20.0,204.0,44.0
0.0,0.11,0.87,13.0,32.0,37.0,18.0
0.0,0.34,0.65,8.0,14.0,1493.0,21.0
0.0,0.17,0.82,12.0,9.0,3204.0,18.0
0.02,0.17,0.78,5.0,13.0,2887.0,25.0
0.02,0.15,0.8,7.0,35.0,3809.0,19.0
0.0,0.09,0.88,19.0,13.0,5168.0,26.0
0.0,0.03,0.94,2.0,22.0,4557.0,32.0
0.0,0.13,0.85,16.0,33.0,748.0,18.0
0.05,0.75,0.17,7.0,18.0,1206.0,9.0
0.02,0.84,0.07,0.0,2.0,4747.0,6.0
0.02,0.8,0.16,0.0,9.0,4559.0,7.0
0.04,0.82,0.11,3.0,3.0,1762.0,8.0
0.05,0.78,0.13,1.0,3.0,2898.0,5.0
0.0,0.81,0.15,3.0,6.0,987.0,10.0
0.0,0.87,0.09,6.0,4.0,979.0,5.0
0.06,0.65,0.25,5.0,6.0,870.0,15.0
0.03,0.7,0.24,4.0,1.0,2238.0,20.0
0.01,0.79,0.16,3.0,16.0,1175.0,11.0
0.04,0.72,0.18,2.0,0.0,2051.0,4.0
0.09,0.6,0.27,4.0,3.0,3382.0,20.0
0.03,0.53,0.25,4.0,6.0,740.0,7.0
0.04,0.63,0.29,3.0,8.0,1476.0,10.0
0.0,0.77,0.21,4.0,5.0,735.0,6.0
0.0,0.89,0.08,3.0,6.0,1163.0,7.0
0.09,0.38,0.5,1.0,2.0,3153.0,12.0
0.07,0.56,0.3,3.0,2.0,4151.0,8.0
0.0,0.8,0.15,5.0,21.0,1081.0,19.0
0.04,0.72,0.21,2.0,2.0,2973.0,8.0
0.0,0.84,0.11,5.0,15.0,2437.0,8.0
0.01,0.87,0.08,3.0,9.0,1723.0,8.0
0.0,0.85,0.11,6.0,8.0,827.0,8.0
0.02,0.58,0.35,1.0,25.0,3062.0,8.0
0.05,0.45,0.47,3.0,45.0,5138.0,26.0
0.06,0.33,0.59,5.0,39.0,2312.0,13.0
0.0,0.89,0.09,2.0,20.0,2630.0,2.0
0.05,0.61,0.3,7.0,25.0,4227.0,15.0
0.0,0.71,0.23,25.0,22.0,3057.0,15.0
0.35,0.25,0.31,1.0,0.0,6157.0,
0.05,0.67,0.28,2.0,47.0,5735.0,18.0
0.08,0.6,0.25,6.0,39.0,5964.0,16.0
0.02,0.48,0.45,2.0,61.0,7344.0,16.0
0.0,0.88,0.08,9.0,24.0,4585.0,8.0
0.0,0.83,0.15,8.0,26.0,1176.0,10.0
0.05,0.33,0.62,4.0,29.0,1610.0,18.0
0.11,0.2,0.62,7.0,30.0,1189.0,21.0
0.02,0.25,0.71,6.0,37.0,1784.0,18.0
0.16,0.67,0.13,2.0,3.0,1372.0,5.0
0.16,0.57,0.23,3.0,0.0,3352.0,6.0
0.25,0.39,0.28,2.0,0.0,3701.0,10.0
0.14,0.63,0.16,3.0,3.0,2015.0,6.0
0.09,0.68,0.19,1.0,3.0,3584.0,2.0
0.08,0.51,0.37,2.0,21.0,1520.0,16.0
0.13,0.53,0.31,3.0,34.0,1059.0,21.0
0.49,0.34,0.12,2.0,13.0,2552.0,18.0
0.08,0.67,0.17,5.0,12.0,549.0,11.0
0.04,0.73,0.22,9.0,5.0,1358.0,12.0
0.02,0.62,0.32,6.0,5.0,481.0,14.0
0.05,0.6,0.3,8.0,2.0,298.0,13.0
0.02,0.77,0.17,5.0,8.0,2925.0,11.0
0.14,0.33,0.52,5.0,35.0,1234.0,35.0
0.05,0.56,0.37,2.0,15.0,1331.0,22.0
0.04,0.69,0.25,9.0,3.0,336.0,6.0
0.03,0.8,0.1,5.0,3.0,1007.0,10.0
0.03,0.85,0.07,6.0,13.0,713.0,18.0
0.0,0.59,0.35,12.0,21.0,188.0,9.0
0.01,0.72,0.21,12.0,7.0,406.0,2.0
0.0,0.8,0.16,11.0,5.0,130.0,7.0
0.0,0.79,0.16,11.0,5.0,614.0,4.0
0.0,0.8,0.17,10.0,6.0,180.0,2.0
0.0,0.63,0.34,29.0,14.0,3607.0,7.0
0.0,0.05,0.94,14.0,56.0,143.0,5.0
,,,,0.0,1.0,
0.0,0.83,0.14,7.0,38.0,548.0,14.0
0.0,0.78,0.18,10.0,11.0,223.0,8.0
0.0,0.84,0.12,7.0,10.0,2426.0,5.0
0.0,0.64,0.28,18.0,18.0,38.0,15.0
0.0,0.77,0.18,11.0,12.0,74.0,11.0
0.0,0.5,0.44,10.0,9.0,471.0,3.0
0.02,0.71,0.24,8.0,13.0,714.0,9.0
0.02,0.64,0.29,5.0,32.0,2527.0,12.0
0.04,0.5,0.42,9.0,16.0,2781.0,24.0
0.0,0.82,0.16,9.0,6.0,413.0,6.0
0.0,0.56,0.4,12.0,19.0,371.0,12.0
0.0,0.86,0.13,12.0,32.0,103.0,17.0
0.02,0.64,0.3,2.0,40.0,2744.0,27.0
0.0,0.67,0.32,15.0,25.0,354.0,10.0
0.0,0.4,0.59,9.0,18.0,177.0,19.0
0.0,0.37,0.61,34.0,11.0,1895.0,14.0
0.02,0.01,0.96,16.0,40.0,5452.0,42.0
0.04,0.12,0.79,15.0,24.0,4732.0,36.0
0.02,0.22,0.68,7.0,24.0,3057.0,19.0
0.05,0.24,0.63,10.0,37.0,5589.0,24.0
,,,,0.0,4.0,
0.02,0.63,0.31,9.0,57.0,2827.0,11.0
0.08,0.52,0.36,42.0,51.0,7485.0,18.0
0.0,0.82,0.11,6.0,5.0,561.0,8.0
0.05,0.83,0.05,7.0,8.0,1459.0,18.0
0.05,0.76,0.13,10.0,14.0,2799.0,18.0
0.04,0.92,0.02,7.0,11.0,1019.0,9.0
0.14,0.7,0.06,1.0,8.0,4391.0,18.0
0.07,0.86,0.01,4.0,0.0,720.0,6.0
0.38,0.44,0.13,2.0,30.0,1356.0,32.0
0.22,0.54,0.18,1.0,36.0,2238.0,23.0
0.16,0.71,0.07,4.0,24.0,824.0,26.0
0.24,0.57,0.12,4.0,40.0,2201.0,34.0
0.09,0.81,0.03,6.0,9.0,1896.0,11.0
0.23,0.57,0.11,6.0,43.0,3240.0,23.0
0.01,0.27,0.69,17.0,42.0,7214.0,16.0
0.02,0.51,0.45,5.0,49.0,6657.0,8.0
0.03,0.45,0.5,4.0,48.0,3935.0,17.0
0.05,0.22,0.68,3.0,60.0,6362.0,25.0
0.05,0.54,0.4,3.0,24.0,6229.0,21.0
0.02,0.81,0.15,7.0,24.0,507.0,6.0
0.08,0.73,0.14,3.0,3.0,719.0,6.0
0.0,0.76,0.21,8.0,3.0,295.0,3.0
0.0,0.64,0.31,18.0,29.0,1295.0,27.0
0.08,0.71,0.15,13.0,27.0,1281.0,9.0
0.01,0.13,0.84,11.0,26.0,240.0,16.0
0.02,0.84,0.1,7.0,24.0,800.0,10.0
0.12,0.68,0.16,6.0,37.0,1018.0,17.0
0.0,0.82,0.16,5.0,40.0,1594.0,6.0
0.04,0.89,0.05,4.0,37.0,1655.0,6.0
0.06,0.72,0.21,7.0,23.0,312.0,11.0
0.11,0.44,0.44,1.0,39.0,1990.0,10.0
0.02,0.85,0.11,6.0,9.0,525.0,10.0
0.28,0.56,0.14,8.0,22.0,589.0,11.0
0.04,0.77,0.17,7.0,11.0,680.0,9.0
0.14,0.41,0.4,3.0,16.0,1191.0,15.0
0.11,0.64,0.21,,13.0,316.0,19.0
0.02,0.86,0.07,0.0,16.0,275.0,14.0
0.05,0.8,0.12,,15.0,300.0,19.0
0.02,0.49,0.46,12.0,9.0,831.0,19.0
0.36,0.42,0.17,13.0,5.0,1202.0,15.0
0.01,0.53,0.43,19.0,9.0,560.0,20.0
0.05,0.84,0.08,40.0,7.0,109.0,23.0
0.08,0.79,0.12,56.0,8.0,99.0,14.0
0.11,0.75,0.12,38.0,20.0,105.0,18.0
0.06,0.78,0.11,29.0,12.0,170.0,10.0
0.09,0.77,0.12,9.0,12.0,314.0,6.0
0.19,0.48,0.3,17.0,13.0,2572.0,6.0
0.05,0.4,0.51,28.0,6.0,3219.0,12.0
0.04,0.87,0.06,21.0,5.0,1003.0,9.0
0.1,0.71,0.15,17.0,8.0,404.0,7.0
0.04,0.84,0.08,21.0,22.0,209.0,9.0
0.21,0.49,0.24,16.0,19.0,1672.0,15.0
0.14,0.48,0.36,9.0,21.0,2010.0,17.0
0.15,0.6,0.21,8.0,16.0,599.0,8.0
0.29,0.35,0.31,1.0,9.0,1264.0,24.0
0.26,0.37,0.37,2.0,14.0,2622.0,40.0
0.26,0.32,0.36,0.0,56.0,3143.0,29.0
0.2,0.63,0.14,7.0,22.0,1162.0,21.0
0.02,0.91,0.03,5.0,8.0,481.0,14.0
0.04,0.81,0.11,5.0,18.0,597.0,12.0
0.0,0.53,0.44,6.0,24.0,1599.0,10.0
0.0,0.76,0.12,5.0,49.0,1024.0,16.0
0.05,0.41,0.5,7.0,16.0,1007.0,16.0
0.0,0.36,0.62,5.0,13.0,2185.0,20.0
0.01,0.67,0.3,17.0,10.0,628.0,10.0
0.0,0.84,0.13,14.0,3.0,2375.0,20.0
0.0,0.97,0.01,10.0,13.0,131.0,5.0
0.0,0.69,0.22,8.0,31.0,1045.0,19.0
0.0,0.94,0.04,34.0,12.0,94.0,6.0
0.0,0.9,0.08,20.0,1.0,707.0,5.0
0.01,0.85,0.1,23.0,7.0,1213.0,11.0
0.0,0.88,0.09,11.0,11.0,279.0,11.0
0.0,0.84,0.12,10.0,31.0,78.0,15.0
0.01,0.21,0.75,3.0,39.0,5158.0,14.0
0.07,0.47,0.44,4.0,30.0,6069.0,22.0
0.12,0.12,0.76,2.0,37.0,5776.0,34.0
0.13,0.25,0.48,0.0,19.0,5520.0,38.0
0.07,0.11,0.75,2.0,27.0,4969.0,37.0
0.09,0.53,0.35,0.0,11.0,4498.0,18.0
0.0,0.69,0.23,0.0,25.0,3959.0,11.0
0.07,0.54,0.33,0.0,2.0,5864.0,17.0
0.07,0.46,0.38,0.0,3.0,5811.0,28.0
0.05,0.63,0.22,7.0,10.0,4764.0,31.0
0.08,0.63,0.2,0.0,6.0,7001.0,73.0
0.17,0.6,0.17,2.0,0.0,6648.0,74.0
0.11,0.41,0.4,0.0,53.0,5640.0,40.0
0.0,0.13,0.85,26.0,36.0,6566.0,16.0
0.49,0.01,0.44,1.0,20.0,3159.0,39.0
0.48,0.09,0.41,2.0,39.0,4707.0,22.0
0.68,0.06,0.26,40.0,32.0,4979.0,33.0
0.02,0.06,0.9,51.0,39.0,6332.0,31.0
0.05,0.63,0.3,4.0,50.0,4338.0,23.0
0.01,0.79,0.13,0.0,85.0,3504.0,36.0
0.02,0.84,0.12,12.0,72.0,4285.0,43.0
0.04,0.54,0.37,0.0,42.0,4749.0,36.0
0.07,0.54,0.33,0.0,65.0,4935.0,27.0
0.06,0.62,0.28,0.0,18.0,5305.0,26.0
0.05,0.76,0.13,0.0,0.0,4916.0,15.0
0.05,0.43,0.47,29.0,5.0,5713.0,16.0
0.04,0.7,0.2,4.0,0.0,5281.0,12.0
0.06,0.4,0.43,2.0,4.0,6941.0,24.0
0.16,0.5,0.31,0.0,12.0,5242.0,22.0
0.02,0.42,0.5,0.0,40.0,4382.0,21.0
0.06,0.55,0.31,19.0,2.0,5389.0,8.0
0.04,0.67,0.26,0.0,1.0,5538.0,9.0
0.05,0.55,0.35,0.0,66.0,4551.0,18.0
0.0,0.8,0.14,5.0,18.0,4373.0,5.0
0.0,0.81,0.13,38.0,2.0,5440.0,6.0
0.08,0.66,0.22,0.0,50.0,4464.0,27.0
0.02,0.46,0.47,0.0,36.0,4539.0,22.0
0.07,0.5,0.31,9.0,36.0,4889.0,14.0
0.07,0.75,0.12,15.0,6.0,5842.0,6.0
0.03,0.44,0.47,0.0,2.0,5164.0,15.0
0.06,0.63,0.28,18.0,30.0,5239.0,25.0
0.15,0.18,0.65,21.0,28.0,4857.0,34.0
0.11,0.2,0.67,41.0,58.0,4409.0,24.0
0.04,0.14,0.8,10.0,35.0,5287.0,31.0
0.11,0.22,0.64,8.0,41.0,5893.0,24.0
0.0,0.8,0.18,22.0,31.0,8039.0,1.0
0.0,0.5,0.49,31.0,31.0,7113.0,14.0
0.06,0.48,0.41,3.0,26.0,7232.0,19.0
0.02,0.67,0.29,10.0,9.0,6672.0,9.0
0.0,0.7,0.24,0.0,24.0,6400.0,11.0
0.02,0.56,0.39,10.0,22.0,7374.0,17.0
0.0,0.69,0.25,0.0,3.0,4625.0,5.0
0.01,0.65,0.3,0.0,5.0,5644.0,16.0
0.0,0.53,0.38,1.0,5.0,5376.0,11.0
0.05,0.65,0.2,10.0,2.0,6914.0,13.0
0.01,0.72,0.16,1.0,2.0,4631.0,3.0
0.01,0.75,0.18,1.0,5.0,7838.0,5.0
0.0,0.78,0.15,1.0,0.0,4200.0,6.0
0.01,0.79,0.15,22.0,1.0,5066.0,7.0
0.07,0.48,0.4,0.0,5.0,4851.0,10.0
0.07,0.5,0.37,0.0,1.0,4242.0,5.0
0.05,0.6,0.32,4.0,5.0,7825.0,11.0
0.0,0.85,0.12,0.0,0.0,5480.0,2.0
0.03,0.74,0.15,0.0,0.0,4421.0,2.0
0.03,0.6,0.32,0.0,0.0,5878.0,9.0
0.03,0.45,0.48,26.0,45.0,4413.0,17.0
0.0,0.84,0.14,19.0,14.0,7769.0,4.0
,,,0.0,0.0,4645.0,
0.0,0.61,0.37,5.0,27.0,7662.0,14.0
0.01,0.38,0.56,0.0,39.0,7683.0,25.0
0.0,0.51,0.44,12.0,37.0,7033.0,8.0
0.01,0.53,0.37,4.0,52.0,1603.0,19.0
0.0,0.67,0.28,6.0,18.0,641.0,7.0
0.0,0.79,0.17,8.0,41.0,1736.0,17.0
0.16,0.53,0.28,15.0,42.0,6913.0,40.0
0.07,0.62,0.2,13.0,9.0,3420.0,66.0
0.08,0.62,0.15,10.0,0.0,4981.0,
0.15,0.62,0.15,25.0,11.0,5854.0,62.0
0.09,0.12,0.77,4.0,54.0,4779.0,32.0
0.24,0.31,0.42,11.0,53.0,5615.0,29.0
0.18,0.24,0.54,7.0,53.0,3258.0,29.0
0.23,0.31,0.45,0.0,62.0,3399.0,35.0
0.3,0.16,0.52,3.0,54.0,3868.0,41.0
0.26,0.17,0.55,5.0,58.0,3321.0,23.0
0.39,0.05,0.54,6.0,42.0,3131.0,52.0
0.15,0.29,0.45,3.0,59.0,1697.0,20.0
0.63,0.16,0.17,28.0,25.0,2621.0,52.0
0.67,0.04,0.27,28.0,49.0,3754.0,32.0
0.17,0.37,0.41,9.0,24.0,3790.0,23.0
0.2,0.45,0.29,6.0,17.0,2596.0,18.0
0.28,0.39,0.3,6.0,50.0,3164.0,12.0
0.23,0.42,0.3,20.0,11.0,2883.0,58.0
0.03,0.72,0.21,3.0,15.0,2171.0,3.0
0.3,0.24,0.46,2.0,20.0,6010.0,14.0
0.24,0.41,0.3,1.0,8.0,7198.0,25.0
0.18,0.46,0.34,2.0,59.0,4598.0,10.0
0.31,0.5,0.2,2.0,25.0,2881.0,23.0
0.06,0.76,0.16,3.0,11.0,2711.0,1.0
0.02,0.82,0.09,3.0,7.0,1595.0,7.0
0.06,0.7,0.17,1.0,33.0,2200.0,4.0
0.11,0.2,0.67,2.0,48.0,4046.0,29.0
0.11,0.65,0.16,1.0,14.0,1473.0,6.0
0.0,0.8,0.14,5.0,6.0,3382.0,2.0
0.15,0.56,0.26,4.0,22.0,3629.0,19.0
0.21,0.49,0.25,4.0,21.0,1674.0,23.0
0.14,0.54,0.2,1.0,72.0,2346.0,47.0
0.06,0.79,0.14,5.0,17.0,2288.0,16.0
0.0,0.89,0.07,8.0,8.0,2523.0,13.0
0.23,0.58,0.18,5.0,36.0,3251.0,16.0
0.08,0.77,0.12,4.0,24.0,2300.0,9.0
0.06,0.71,0.19,13.0,8.0,5028.0,11.0
0.02,0.78,0.13,1.0,7.0,3310.0,12.0
0.1,0.64,0.19,2.0,0.0,4630.0,8.0
0.09,0.67,0.14,4.0,0.0,3699.0,8.0
0.08,0.68,0.18,1.0,0.0,2889.0,4.0
0.0,0.86,0.12,3.0,4.0,2749.0,6.0
0.02,0.8,0.16,4.0,23.0,2561.0,9.0
0.04,0.61,0.3,3.0,25.0,4996.0,7.0
0.02,0.89,0.07,6.0,15.0,2263.0,4.0
0.0,0.85,0.11,7.0,8.0,1386.0,5.0
0.09,0.72,0.13,5.0,7.0,3292.0,6.0
0.06,0.8,0.11,2.0,51.0,6207.0,12.0
0.03,0.87,0.07,8.0,17.0,2182.0,12.0
0.16,0.23,0.58,2.0,42.0,4035.0,17.0
,,,1.0,0.0,1994.0,
0.0,0.49,0.49,15.0,20.0,174.0,11.0
0.3,0.39,0.27,12.0,8.0,423.0,14.0
0.0,0.77,0.11,9.0,7.0,328.0,16.0
0.0,0.82,0.17,8.0,14.0,223.0,7.0
0.21,0.41,0.28,4.0,19.0,1431.0,12.0
0.27,0.7,0.01,15.0,12.0,95.0,14.0
0.17,0.78,0.04,9.0,15.0,151.0,20.0
0.06,0.86,0.02,5.0,6.0,178.0,20.0
0.42,0.46,0.07,10.0,34.0,655.0,20.0
0.0,0.64,0.35,12.0,16.0,3965.0,4.0
0.01,0.49,0.49,25.0,23.0,5025.0,10.0
0.0,0.61,0.32,13.0,45.0,1352.0,13.0
0.0,0.89,0.09,12.0,35.0,190.0,6.0
0.08,0.27,0.6,10.0,30.0,3737.0,21.0
0.07,0.41,0.48,19.0,21.0,2055.0,16.0
0.07,0.55,0.35,28.0,21.0,816.0,20.0
0.04,0.41,0.53,11.0,25.0,3522.0,15.0
0.19,0.29,0.48,7.0,12.0,2726.0,28.0
0.1,0.7,0.18,24.0,26.0,3065.0,19.0
0.39,0.29,0.26,14.0,25.0,2414.0,22.0
0.19,0.75,0.02,86.0,13.0,1182.0,16.0
0.02,0.27,0.59,84.0,22.0,2885.0,21.0
0.01,0.61,0.35,27.0,22.0,5060.0,12.0
,,,,0.0,24.0,
0.0,0.01,0.93,6.0,4.0,206.0,29.0
0.0,0.0,0.99,2.0,3.0,4592.0,22.0
0.0,0.01,0.97,6.0,1.0,3288.0,35.0
0.01,0.03,0.93,5.0,1.0,7037.0,25.0
0.0,0.0,0.99,8.0,21.0,8113.0,27.0
0.0,0.05,0.89,4.0,24.0,5548.0,37.0
0.0,0.05,0.94,2.0,44.0,8345.0,37.0
0.0,0.0,0.99,7.0,2.0,7317.0,14.0
0.01,0.03,0.93,12.0,6.0,252.0,17.0
0.0,0.42,0.55,16.0,15.0,2686.0,17.0
0.03,0.53,0.39,12.0,8.0,2022.0,10.0
0.0,0.63,0.36,11.0,26.0,1037.0,13.0
0.1,0.43,0.43,11.0,14.0,1340.0,5.0
0.01,0.22,0.74,10.0,8.0,1196.0,7.0
0.0,0.44,0.54,14.0,21.0,1957.0,12.0
0.0,0.37,0.6,6.0,20.0,1918.0,10.0
0.0,0.47,0.51,15.0,28.0,1697.0,13.0
0.0,0.54,0.41,17.0,40.0,156.0,13.0
0.24,0.18,0.55,24.0,26.0,2604.0,12.0
0.07,0.61,0.27,58.0,28.0,3524.0,7.0
0.11,0.51,0.33,0.0,16.0,4821.0,15.0
0.01,0.72,0.23,20.0,33.0,4190.0,1.0
0.03,0.78,0.16,41.0,0.0,5150.0,0.0
0.01,0.62,0.29,68.0,10.0,5079.0,8.0
0.03,0.37,0.55,0.0,16.0,3487.0,5.0
0.1,0.4,0.48,0.0,25.0,4852.0,5.0
0.03,0.63,0.27,2.0,56.0,5089.0,7.0
0.03,0.48,0.46,12.0,63.0,4208.0,8.0
0.06,0.33,0.59,0.0,57.0,5455.0,17.0
0.11,0.24,0.57,0.0,65.0,4494.0,10.0
0.05,0.31,0.61,0.0,42.0,4436.0,4.0
0.13,0.08,0.78,0.0,33.0,3850.0,27.0
0.15,0.09,0.78,0.0,26.0,3570.0,14.0
0.13,0.08,0.77,13.0,36.0,3613.0,18.0
0.02,0.59,0.32,9.0,1.0,2957.0,7.0
0.04,0.41,0.35,47.0,1.0,5530.0,2.0
0.09,0.57,0.3,0.0,3.0,4790.0,16.0
0.05,0.63,0.26,6.0,3.0,3446.0,9.0
0.06,0.65,0.2,9.0,4.0,3228.0,4.0
0.0,0.38,0.6,11.0,13.0,279.0,11.0
0.02,0.63,0.29,15.0,2.0,1350.0,7.0
0.0,0.52,0.45,8.0,4.0,1489.0,3.0
0.04,0.51,0.37,14.0,4.0,1312.0,10.0
0.13,0.07,0.8,7.0,53.0,5588.0,9.0
,,,1.0,0.0,2399.0,
0.03,0.65,0.29,9.0,34.0,3504.0,6.0
0.04,0.71,0.25,9.0,17.0,2018.0,6.0
0.14,0.64,0.2,5.0,48.0,1661.0,22.0
0.21,0.44,0.28,4.0,26.0,2206.0,31.0
0.08,0.74,0.14,6.0,16.0,561.0,9.0
0.12,0.53,0.35,10.0,29.0,1482.0,18.0
0.04,0.71,0.22,7.0,30.0,2192.0,10.0
0.0,0.89,0.09,7.0,22.0,739.0,9.0
0.0,0.71,0.27,5.0,28.0,663.0,19.0
0.12,0.38,0.46,4.0,63.0,3644.0,12.0
0.0,0.8,0.16,7.0,37.0,1818.0,9.0
0.0,0.96,0.01,7.0,20.0,629.0,10.0
0.0,0.9,0.03,8.0,25.0,1406.0,6.0
0.0,0.77,0.19,0.0,48.0,2729.0,25.0
0.01,0.74,0.19,8.0,12.0,656.0,12.0
0.0,0.92,0.06,1.0,25.0,2440.0,20.0
0.0,0.93,0.03,7.0,17.0,639.0,9.0
0.01,0.68,0.27,5.0,1.0,791.0,12.0
0.01,0.81,0.13,4.0,2.0,1213.0,6.0
0.01,0.77,0.2,4.0,0.0,1126.0,11.0
0.02,0.53,0.36,5.0,2.0,834.0,19.0
0.02,0.77,0.11,5.0,2.0,1016.0,2.0
0.04,0.7,0.21,5.0,1.0,1150.0,13.0
0.04,0.81,0.06,4.0,0.0,1507.0,3.0
0.02,0.74,0.14,1.0,0.0,3522.0,5.0
0.08,0.63,0.19,2.0,0.0,3035.0,2.0
0.05,0.73,0.1,8.0,0.0,3899.0,5.0
