Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.18,0.78,0.0,9.0,24.0,3853.0,17.0
0.04,0.93,0.0,6.0,11.0,927.0,21.0
0.0,0.88,0.05,10.0,13.0,681.0,16.0
0.12,0.82,0.04,19.0,25.0,887.0,16.0
0.5,0.44,0.0,10.0,14.0,409.0,22.0
0.24,0.72,0.0,8.0,9.0,488.0,22.0
0.4,0.59,0.0,9.0,7.0,756.0,13.0
0.41,0.51,0.04,10.0,5.0,597.0,15.0
0.67,0.32,0.0,11.0,15.0,496.0,17.0
0.7,0.29,0.0,9.0,29.0,188.0,22.0
0.05,0.92,0.01,17.0,13.0,133.0,8.0
0.24,0.72,0.01,16.0,14.0,83.0,10.0
0.04,0.9,0.02,26.0,13.0,1149.0,16.0
0.13,0.82,0.02,10.0,11.0,934.0,20.0
0.19,0.76,0.02,4.0,11.0,1802.0,20.0
0.11,0.85,0.02,6.0,24.0,1568.0,10.0
0.26,0.71,0.0,6.0,27.0,1014.0,20.0
0.35,0.6,0.01,2.0,33.0,1120.0,31.0
0.0,0.97,0.02,8.0,11.0,1262.0,14.0
0.05,0.92,0.0,7.0,24.0,1860.0,6.0
0.07,0.91,0.02,6.0,22.0,1287.0,24.0
0.25,0.72,0.0,9.0,32.0,1025.0,33.0
0.44,0.53,0.01,7.0,26.0,3096.0,29.0
0.01,0.95,0.0,9.0,11.0,1087.0,17.0
0.01,0.95,0.0,12.0,11.0,769.0,7.0
0.09,0.86,0.02,9.0,27.0,1172.0,22.0
0.29,0.65,0.0,11.0,13.0,392.0,5.0
0.16,0.77,0.0,7.0,12.0,380.0,26.0
0.21,0.76,0.0,10.0,23.0,1015.0,10.0
0.21,0.68,0.0,10.0,16.0,1312.0,13.0
0.33,0.6,0.01,10.0,19.0,454.0,23.0
0.22,0.76,0.0,11.0,25.0,862.0,20.0
0.0,0.94,0.03,7.0,15.0,1761.0,19.0
0.0,0.96,0.02,7.0,17.0,1732.0,10.0
0.0,0.86,0.1,4.0,11.0,942.0,14.0
0.0,0.95,0.01,6.0,20.0,989.0,19.0
0.0,0.99,0.0,6.0,13.0,538.0,11.0
0.0,0.92,0.05,6.0,15.0,824.0,12.0
0.0,0.88,0.09,8.0,9.0,1358.0,10.0
0.01,0.87,0.06,10.0,27.0,2894.0,18.0
0.01,0.87,0.02,7.0,26.0,1787.0,14.0
0.01,0.88,0.08,13.0,17.0,3188.0,15.0
0.01,0.93,0.03,10.0,8.0,1274.0,7.0
0.0,0.92,0.05,5.0,9.0,1084.0,14.0
0.0,0.96,0.0,6.0,12.0,1297.0,16.0
0.05,0.92,0.01,13.0,16.0,809.0,23.0
0.03,0.9,0.06,14.0,20.0,864.0,16.0
0.08,0.88,0.03,9.0,8.0,425.0,14.0
0.0,0.87,0.01,9.0,9.0,499.0,16.0
0.0,0.95,0.02,10.0,10.0,342.0,17.0
0.13,0.65,0.14,4.0,9.0,628.0,15.0
0.05,0.86,0.02,8.0,19.0,1088.0,19.0
0.01,0.95,0.0,8.0,18.0,1407.0,10.0
0.14,0.84,0.0,10.0,12.0,1310.0,8.0
0.06,0.86,0.06,8.0,9.0,919.0,11.0
0.3,0.63,0.03,6.0,35.0,1415.0,26.0
0.62,0.3,0.0,6.0,31.0,1861.0,29.0
0.28,0.58,0.09,2.0,2.0,1283.0,22.0
0.23,0.66,0.04,6.0,7.0,1063.0,12.0
0.17,0.61,0.13,3.0,1.0,2188.0,13.0
0.21,0.64,0.08,4.0,11.0,1221.0,20.0
